Settlement,SocioeconomicCluster,PercentTechStudents,PercentTeachersMasters,PercentHighSchoolTeachersMasters,PercentRegionalAccommodations,PercentInstitutionalAccommodations,PersistenceRate,DropoutRate,PercentShakdQuestionnaires,PercentBagrutEligible,PercentBagrutEligibleRegular,PercentExcellentBagrut,PercentOutstandingBagrutRegular,Percent4UnitsEnglish,Percent4UnitsEnglishRegular,Percent5UnitsEnglish,Percent5UnitsEnglishRegular,Percent4UnitsMath,Percent4UnitsMathRegular,Percent5UnitsMath,Percent5UnitsMathRegular,AvgClassSizeHighSchool,Year,HighSchoolStudentsPerHighClass,TechClassRatio,GiftedClassRatio,StudentsPerResidentRatio,HighSchoolCoverageRatio,HilaStudentRatio,TeacherStudentRatio,StudentPerClass,StudentPerSchool,OutstandingToTotal,DropoutToPersistenceRatio,5UnitsIndex,DropoutRiskScore,SchoolExcellentScore,5UnitsIndexRegular,SchoolExcellentScoreRegular,4UnitsIndex,4UnitsIndexRegular,CrimeRate
קרית ים,5,0.565302144,0.420608108,0.453900709,0.254019293,0.31511254,0.7619,0.010005559,0.0,0.774,0.77,0.105,0.109,0.294,0.3,0.319,0.326,0.18,0.185,0.139,0.141,23.70454545,2021,28.72093023255814,0.23255813953488372,0.0,0.12831984093168583,0.23076923076923078,0.003689356207341819,0.10920494373731784,23.692307692307693,379.0769230769231,0.13565891472868216,0.013132378264864157,0.229,0.014064000558441559,0.18766666666666668,0.23349999999999999,0.19199999999999998,0.237,0.2425,0.03922618323397007
קרית מוצקין,7,0.549908145,0.460291734,0.559139785,0.272904483,0.423001949,0.8646,0.00448654,0.007968127,0.846,0.853,0.117,0.124,0.228,0.222,0.501,0.525,0.183,0.192,0.193,0.2,27.66101695,2021,26.35,0.1,0.0,0.13583516718923447,0.2857142857142857,0.0008602150537634409,0.08845878136200717,26.808429118773947,499.7857142857143,0.13829787234042554,0.005189151052509831,0.347,0.005344050361583535,0.2703333333333333,0.36250000000000004,0.28300000000000003,0.20550000000000002,0.20700000000000002,0.03256182162871607
קרית מלאכי,3,0.666245259,0.417307692,0.50617284,0.112149533,0.336448598,0.7323,0.015346839,0.013452915,0.764,0.792,0.049,0.054,0.382,0.385,0.301,0.33,0.146,0.163,0.106,0.118,17.87234043,2021,22.80851063829787,0.19148936170212766,0.0,0.19349540078843627,0.4375,0.0032069420863987926,0.09809469911337483,22.766265060240965,295.25,0.06413612565445026,0.020957038099139697,0.2035,0.018945484215918712,0.152,0.224,0.16733333333333333,0.264,0.274,0.0610387084224859
קרית עקרון,6,0.0,0.478632479,0.666666667,0.25,0.160714286,0.7838,0.0,0.0,0.983,0.981,0.69,0.704,0.0,0.0,0.983,0.981,0.345,0.333,0.483,0.519,26.16666667,2021,69.5,0.0,0.0,0.1654854712969525,0.25,0.0,0.0626338329764454,24.770833333333332,297.25,0.7019328585961342,0.0,0.733,0.0,0.7186666666666666,0.75,0.7346666666666666,0.1725,0.1665,0.04448285272446102
קרית שמונה,5,0.543252595,0.454545455,0.54601227,0.316205534,0.18972332,0.8736,0.006389776,0.00456621,0.808,0.858,0.105,0.114,0.225,0.24,0.446,0.48,0.174,0.189,0.149,0.161,19.925,2021,18.26,0.12,0.04,0.15568566009730353,0.5,0.001059322033898305,0.13109110169491525,20.889518413597735,263.35714285714283,0.12995049504950493,0.007314304029304029,0.2975,0.0074746688668294,0.2333333333333333,0.3205,0.25166666666666665,0.1995,0.2145,0.053085541525875864
קרני שומרון,6,0.24754902,0.420833333,0.483870968,0.252173913,0.113043478,0.4529,0.0,0.0,0.856,0.85,0.144,0.15,0.28,0.257,0.568,0.593,0.256,0.274,0.256,0.265,24.0,2021,29.058823529411764,0.0,0.0,0.22184662932200117,0.2,0.0,0.10448410970831519,27.147727272727273,477.8,0.16822429906542055,0.0,0.412,0.0,0.32266666666666666,0.429,0.336,0.268,0.2655,0.02217741935483871
ראמה,4,0.656050955,0.388392857,0.429752066,0.200743494,0.223048327,0.9128,0.003319502,0.016129032,0.696,0.698,0.143,0.146,0.271,0.272,0.337,0.34,0.176,0.179,0.128,0.131,26.38235294,2021,13.533333333333333,0.26666666666666666,0.0,0.18198026863187924,0.5,0.0013063357282821686,0.14630960156760286,27.10843373493976,375.0,0.2054597701149425,0.0036366148115688,0.2325,0.004208390888888889,0.20266666666666666,0.23550000000000001,0.20566666666666666,0.2235,0.2255,0.03052064631956912
ראש העין,7,0.285952249,0.466800805,0.594142259,0.298279159,0.250478011,0.7785,0.003722084,0.004672897,0.913,0.916,0.167,0.179,0.243,0.225,0.631,0.664,0.268,0.286,0.229,0.248,28.09677419,2021,34.73913043478261,0.07246376811594203,0.0,0.1603548454036107,0.17857142857142858,0.0010514396635393076,0.08039469427369783,25.736017897091724,410.85714285714283,0.1829134720700986,0.004781096981374439,0.43,0.0048521257246175245,0.3423333333333333,0.456,0.36366666666666664,0.2555,0.2555,0.02770162056516192
ראשון לציון,7,0.378948531,0.501281686,0.629213483,0.290557783,0.328472475,0.9002,0.004716147,0.002102313,0.896,0.931,0.179,0.19,0.202,0.208,0.589,0.622,0.215,0.228,0.254,0.27,27.35843373,2021,25.994334277620396,0.08498583569405099,0.028328611898016998,0.14831065408999536,0.36904761904761907,0.0017203179981754202,0.0915157044180894,25.963661295851903,450.8095238095238,0.1997767857142857,0.005238999111308599,0.4215,0.006459043376888138,0.3406666666666667,0.446,0.3606666666666667,0.20850000000000002,0.218,0.03884002104026446
רהט,1,0.359429648,0.348394121,0.492877493,0.10729254,0.14417435,0.9376,0.024584004,0.026966292,0.651,0.655,0.022,0.023,0.339,0.34,0.137,0.139,0.132,0.132,0.042,0.043,26.91176471,2021,26.813793103448276,0.08275862068965517,0.020689655172413793,0.2561175413561651,0.28125,0.0020119686339248864,0.09476888155179529,25.38671875,609.28125,0.033794162826420886,0.026220140784982936,0.08950000000000001,0.026584311739652255,0.067,0.091,0.06833333333333333,0.23550000000000001,0.23600000000000002,0.0446726702418294
רחובות,7,0.447738438,0.469856087,0.547991071,0.314825753,0.23213231,0.8814,0.00721888,0.001771479,0.865,0.888,0.158,0.168,0.24,0.247,0.539,0.567,0.207,0.219,0.217,0.231,26.61133603,2021,24.06926406926407,0.06926406926406926,0.0,0.18465479480627836,0.3815789473684211,0.0013413816230717639,0.09075505665572382,26.185758513931887,389.5131578947368,0.18265895953757225,0.00819024279555253,0.378,0.008502533683748268,0.3046666666666667,0.39899999999999997,0.322,0.22349999999999998,0.23299999999999998,0.03165547801629209
ריינה,2,0.456962025,0.461538462,0.638888889,0.196428571,0.064285714,0.7735,0.01018011,0.006097561,0.871,0.871,0.157,0.154,0.443,0.444,0.279,0.276,0.207,0.204,0.154,0.154,29.60606061,2021,32.370370370370374,0.0,0.0,0.2005938445726032,0.375,0.00654711073156846,0.09251352120694563,26.466165413533833,440.0,0.18025258323765786,0.0131610989010989,0.21650000000000003,0.01671420090909091,0.19666666666666668,0.21500000000000002,0.19466666666666668,0.325,0.324,0.022890137650152086
רכסים,2,0.443690638,0.1352657,0.06185567,0.026315789,0.114035088,0.6559,0.013525699,0.0,0.254,0.257,0.008,0.009,0.082,0.088,0.025,0.027,0.09,0.097,0.016,0.018,24.725,2021,22.205882352941178,0.029411764705882353,0.0,0.25599180607715943,0.45,0.00026673779674579886,0.05521472392638037,23.466275659824046,200.05,0.031496062992125984,0.020621587132184784,0.0205,0.013775636515621095,0.016333333333333335,0.0225,0.018,0.086,0.0925,0.013875193689252007
רמלה,4,0.535044423,0.378472222,0.44963145,0.325080732,0.172228202,0.8358,0.007784698,0.003003003,0.727,0.8,0.042,0.047,0.252,0.278,0.328,0.367,0.141,0.159,0.077,0.087,21.75657895,2021,21.664516129032258,0.12903225806451613,0.0,0.18218047253060063,0.3488372093023256,0.0013020833333333333,0.09375,23.23438767234388,333.1162790697674,0.05777166437414031,0.009314067958841828,0.2025,0.009180956028483664,0.149,0.22699999999999998,0.167,0.1965,0.21850000000000003,0.061416367588333416
רמת גן,8,0.375655213,0.478962818,0.585845347,0.299390244,0.240853659,0.8415,0.004461357,0.002453988,0.928,0.941,0.31,0.318,0.148,0.148,0.739,0.755,0.282,0.287,0.307,0.314,30.69668246,2021,26.668508287292816,0.03314917127071823,0.055248618784530384,0.12566599520841032,0.3111111111111111,0.0012330456226880395,0.09693635587593664,26.8,494.31111111111113,0.334051724137931,0.0053016720142602496,0.523,0.0056302115225678835,0.452,0.5345,0.4623333333333333,0.21499999999999997,0.21749999999999997,0.03246060549841726
רמת השרון,9,0.33629675,0.481262327,0.623873874,0.348691099,0.281675393,0.8899,0.004675082,0.002967359,0.971,0.973,0.486,0.499,0.072,0.061,0.886,0.906,0.262,0.269,0.467,0.482,29.125,2021,19.767857142857142,0.026785714285714284,0.10714285714285714,0.19105342639075956,0.22727272727272727,0.000640888698995941,0.10831019013031404,29.99737532808399,519.5,0.5005149330587023,0.005253491403528486,0.6765,0.005200062313238253,0.613,0.694,0.629,0.167,0.165,0.024968348519125796
רעננה,8,0.338216721,0.483805668,0.5625,0.434126984,0.206349206,0.9054,0.005902343,0.001239157,0.909,0.922,0.262,0.275,0.15,0.152,0.702,0.728,0.265,0.277,0.32,0.339,26.11842105,2021,23.547770700636942,0.025477707006369428,0.03821656050955414,0.17851945396596308,0.32432432432432434,0.001953782927979519,0.0998450448022637,26.197402597402597,408.8918918918919,0.28822882288228824,0.006519044621161918,0.511,0.007819191436777052,0.428,0.5335,0.44733333333333336,0.20750000000000002,0.21450000000000002,0.02499377024669823
שדרות,5,0.595052083,0.415708812,0.533742331,0.099206349,0.313492063,0.8073,0.001704545,0.005847953,0.927,0.936,0.124,0.127,0.29,0.291,0.552,0.558,0.274,0.283,0.189,0.195,21.18918919,2021,27.27777777777778,0.2222222222222222,0.0,0.14505172365194352,0.3076923076923077,0.001748931208705791,0.10143801010493587,24.741935483870968,354.0,0.133764832793959,0.0021114145918493745,0.37050000000000005,0.003660216447196871,0.2883333333333334,0.37650000000000006,0.2933333333333334,0.28200000000000003,0.287,0.06963214350645415
שוהם,9,0.173693086,0.549367089,0.586666667,0.328947368,0.226315789,0.875,0.003723008,0.0,0.949,0.966,0.298,0.309,0.151,0.156,0.786,0.797,0.298,0.306,0.36,0.372,28.12195122,2021,31.511111111111113,0.0,0.0,0.1936708320893931,0.2222222222222222,0.00022021581149526536,0.08698524554062982,27.778501628664497,473.77777777777777,0.31401475237091675,0.004254866285714286,0.573,0.00395752957598499,0.48133333333333334,0.5845,0.49266666666666664,0.22449999999999998,0.23099999999999998,0.014473626325282653
שלומי,6,0.767295597,0.478991597,0.607142857,0.1,0.7,0.7115,0.002212389,0.0,0.676,0.833,0.027,0.033,0.189,0.233,0.459,0.567,0.081,0.1,0.027,0.033,28.6,2021,48.0,0.2857142857142857,0.5714285714285714,0.17367773677736778,0.3333333333333333,0.000708215297450425,0.08427762039660057,24.25581395348837,347.6666666666667,0.03994082840236686,0.003109471539002108,0.24300000000000002,0.003171161770853308,0.171,0.3,0.211,0.135,0.1665,0.03384367445608381
שעב,2,0.0,0.584415584,0.7,0.178294574,0.209302326,0.8667,0.006830601,0.016949153,0.869,0.876,0.1,0.101,0.269,0.271,0.346,0.349,0.185,0.186,0.1,0.101,25.57142857,2021,28.571428571428573,0.0,0.0,0.20837148463047744,0.3333333333333333,0.011927181418706842,0.09667294413057125,23.693548387096776,489.6666666666667,0.11507479861910243,0.007881159570785739,0.22299999999999998,0.019764569686181076,0.18199999999999997,0.22499999999999998,0.18366666666666664,0.227,0.2285,0.03735439817914045
שפרעם,3,0.583495146,0.528211285,0.488970588,0.172155689,0.164670659,0.8893,0.003507825,0.021634615,0.751,0.751,0.074,0.075,0.337,0.337,0.229,0.232,0.185,0.186,0.086,0.087,24.84615385,2021,26.58139534883721,0.11627906976744186,0.0,0.19450331736085513,0.4,0.0005922065616487031,0.09866161317067393,24.769461077844312,330.92,0.0985352862849534,0.003944478803553357,0.1575,0.00411220067992264,0.12966666666666668,0.1595,0.13133333333333333,0.261,0.2615,0.04639092391429162
תל מונד,8,0.276297335,0.479087452,0.526315789,0.299559471,0.665198238,0.9035,0.007437458,0.0,0.932,0.942,0.436,0.444,0.085,0.084,0.825,0.84,0.278,0.284,0.38,0.387,33.95238095,2021,40.57142857142857,0.0,0.0,0.23089575765883077,0.2,0.0011872959335114278,0.07806470762837638,30.186274509803923,615.8,0.4678111587982832,0.008231829551743222,0.6025,0.008736581091912958,0.547,0.6134999999999999,0.5569999999999999,0.18150000000000002,0.184,0.02003177453892381
תל שבע,1,0.405860806,0.323664122,0.362903226,0.202991453,0.004273504,0.9159,0.020414673,0.024242424,0.57,0.595,0.01,0.011,0.179,0.19,0.09,0.094,0.07,0.075,0.014,0.015,28.23913043,2021,26.607142857142858,0.14285714285714285,0.0,0.2756767927257698,0.4166666666666667,0.0007496251874062968,0.09820089955022489,24.321033210332104,549.25,0.01754385964912281,0.022289194235178514,0.052,0.021173283226065848,0.038,0.0545,0.04,0.1245,0.1325,0.047967088275198036
אבו גוש,3,0.424855491,0.410404624,0.457142857,0.12195122,0.719512195,0.9225,0.004739336,0.04109589,0.641,0.795,0.107,0.133,0.291,0.361,0.184,0.229,0.233,0.289,0.049,0.06,22.5,2022,17.869565217391305,0.2608695652173913,0.0,0.19413169566700786,0.6,0.0011716461628588166,0.10134739308728764,18.147058823529413,246.8,0.16692667706708267,0.00513749159891599,0.11649999999999999,0.006360081542949757,0.11333333333333333,0.14450000000000002,0.1406666666666667,0.262,0.32499999999999996,0.05552757491815664
אבו סנאן,3,0.319391635,0.525,0.513157895,0.006535948,0.196078431,0.9419,0.003205128,0.0,0.758,0.803,0.236,0.25,0.205,0.217,0.391,0.414,0.267,0.283,0.137,0.145,26.47368421,2022,27.181818181818183,0.13636363636363635,0.0,0.1811029153494907,0.42857142857142855,0.0,0.10861132660977502,23.201923076923077,344.7142857142857,0.3113456464379947,0.003402832572459921,0.264,0.003205128,0.25466666666666665,0.27949999999999997,0.26966666666666667,0.236,0.25,0.03431606182338122
אבן יהודה,9,0.110920034,0.475247525,0.568345324,0.113712375,0.377926421,0.8865,0.013062409,0.006622517,0.933,0.94,0.187,0.195,0.26,0.255,0.573,0.592,0.283,0.298,0.26,0.27,26.29787234,2022,17.90909090909091,0.06818181818181818,0.0,0.2259153810501225,0.42857142857142855,0.0023446658851113715,0.0888042203985932,27.51298701298701,605.2857142857143,0.20042872454448016,0.014734809926677948,0.4165,0.014950537392730705,0.34,0.431,0.35233333333333333,0.27149999999999996,0.27649999999999997,0.02234597981204316
אום אל-פחם,2,0.484898864,0.425925926,0.470737913,0.037683824,0.607536765,0.956,0.004952186,0.020080321,0.722,0.752,0.154,0.163,0.267,0.277,0.293,0.31,0.205,0.216,0.134,0.142,26.7480916,2022,22.54421768707483,0.10884353741496598,0.0,0.22928572632714644,0.43333333333333335,0.0026468642011616794,0.09925740754356298,25.221014492753625,464.06666666666666,0.21329639889196678,0.005180110878661088,0.2135,0.007538021368481539,0.19366666666666665,0.22599999999999998,0.205,0.236,0.2465,0.036802181880167054
אופקים,3,0.545387454,0.390924956,0.388888889,0.052777778,0.247222222,0.7895,0.007815714,0.0,0.474,0.518,0.039,0.044,0.159,0.178,0.206,0.225,0.117,0.127,0.055,0.059,24.76190476,2022,22.625,0.078125,0.0,0.19745222929936307,0.38461538461538464,0.0020077633516262885,0.07669656003212422,23.023923444976077,277.61538461538464,0.08227848101265824,0.009899574414186194,0.1305,0.009893851988362427,0.09999999999999999,0.14200000000000002,0.10933333333333334,0.138,0.1525,0.04064101841942207
אור יהודה,5,0.31433506,0.441233141,0.454545455,0.081325301,0.5,0.726,0.010787056,0.0,0.812,0.885,0.093,0.109,0.211,0.234,0.354,0.391,0.166,0.191,0.076,0.086,21.38181818,2022,24.350877192982455,0.10526315789473684,0.0,0.15878235308771144,0.3684210526315789,0.0037652965171007216,0.08142453718230311,23.63298969072165,301.63157894736844,0.11453201970443348,0.01485820385674931,0.215,0.014974806828825685,0.17433333333333334,0.2385,0.19533333333333333,0.1885,0.21250000000000002,0.04388222576826067
אור עקיבא,5,0.53688029,0.4675,0.616541353,0.199074074,0.472222222,0.7249,0.009204115,0.0,0.921,0.934,0.062,0.071,0.383,0.374,0.348,0.389,0.185,0.212,0.128,0.146,19.57142857,2022,15.886363636363637,0.09090909090909091,0.0,0.1453951989422799,0.45454545454545453,0.0076726342710997444,0.11366865586814436,23.23219814241486,341.09090909090907,0.06731813246471227,0.012697082356187061,0.238,0.016400277046908315,0.17933333333333334,0.2675,0.20199999999999999,0.28400000000000003,0.293,0.049679026540193544
אורנית,9,0.468379447,0.50887574,0.637931034,0.101265823,0.518987342,0.836,0.005873715,0.0,0.95,0.961,0.157,0.161,0.119,0.116,0.799,0.819,0.346,0.355,0.182,0.187,32.19047619,2022,35.1875,0.0,0.0,0.23460964694182,0.25,0.001695633743111488,0.07164052564646037,28.767123287671232,525.0,0.16526315789473686,0.007025974880382775,0.49050000000000005,0.007778476904761905,0.37933333333333336,0.503,0.389,0.23249999999999998,0.2355,0.014846691769768694
אילת,6,0.347229551,0.45912654,0.571823204,0.10472973,0.314189189,0.8743,0.015237159,0.0,0.775,0.826,0.051,0.054,0.22,0.241,0.45,0.486,0.167,0.187,0.112,0.12,22.96341463,2022,22.43820224719101,0.1348314606741573,0.0,0.16241999337274804,0.3333333333333333,0.004402448190701171,0.09588746912917427,23.86077643908969,424.3809523809524,0.06580645161290322,0.017427838270616496,0.281,0.019837697599640935,0.20433333333333337,0.303,0.22,0.1935,0.214,0.10227465146469493
אכסאל,3,0.350503919,0.543478261,0.615384615,0.078947368,0.646616541,0.9496,0.000676133,0.014705882,0.665,0.667,0.064,0.064,0.271,0.269,0.199,0.201,0.173,0.174,0.053,0.053,27.89655172,2022,21.357142857142858,0.14285714285714285,0.0,0.2315754339118825,0.5555555555555556,0.0002882675122513693,0.10608244450850389,22.82,380.3333333333333,0.09624060150375939,0.0007120187447346251,0.126,0.0009682743964358749,0.10533333333333333,0.127,0.106,0.222,0.2215,0.04499217527386541
אלעד,2,0.494883457,0.173155738,0.145780051,0.022648084,0.212543554,0.6546,0.009092877,0.005797101,0.385,0.392,0.034,0.039,0.128,0.139,0.127,0.141,0.096,0.104,0.068,0.077,27.10240964,2022,30.496402877697843,0.050359712230215826,0.0,0.3538359522565607,0.48148148148148145,0.0011925719802373786,0.05542620251008007,24.10914245216159,209.98765432098764,0.08831168831168831,0.013890737855178735,0.0975,0.010327517484449409,0.07633333333333334,0.10899999999999999,0.08566666666666665,0.112,0.1215,0.014306787641198698
אלקנה,8,0.307839388,0.579787234,0.717391304,0.087591241,0.445255474,0.7423,0.0,0.006666667,0.993,1.0,0.299,0.336,0.229,0.2,0.75,0.8,0.306,0.336,0.389,0.44,28.94117647,2022,11.65,0.0,0.0,0.22586520947176686,0.6,0.0020161290322580645,0.18951612903225806,26.952380952380953,339.6,0.3011077542799597,0.0,0.5695,0.001177856301531213,0.47933333333333333,0.62,0.5253333333333333,0.2675,0.268,0.0046500813764240876
אעבלין,3,0.348230912,0.515625,0.577235772,0.044077135,0.672176309,0.8901,0.012215436,0.013245033,0.802,0.839,0.156,0.163,0.372,0.391,0.285,0.299,0.214,0.224,0.179,0.188,25.04255319,2022,13.18867924528302,0.05660377358490566,0.0,0.21283659166359278,0.5,0.009705372616984401,0.13310225303292894,24.639240506329113,486.625,0.19451371571072318,0.013723667003707448,0.23199999999999998,0.01940783260929874,0.20666666666666667,0.2435,0.21666666666666667,0.293,0.3075,0.03597486094054757
אפרת,7,0.166666667,0.545454545,0.602094241,0.139664804,0.379888268,0.5242,0.004721435,0.0,0.927,0.942,0.262,0.314,0.097,0.105,0.786,0.826,0.243,0.291,0.32,0.384,26.96428571,2022,22.25,0.0,0.0,0.27991869918699186,0.4,0.003194888178913738,0.12779552715654952,22.859060402684563,340.6,0.2826321467098166,0.009006934376192294,0.553,0.007951029832648268,0.456,0.605,0.508,0.16999999999999998,0.19799999999999998,0.014004893275963892
אריאל,6,0.581947743,0.450617284,0.560606061,0.155279503,0.267080745,0.7031,0.013384321,0.0,0.944,0.957,0.13,0.144,0.447,0.439,0.441,0.482,0.379,0.417,0.13,0.151,19.30434783,2022,31.8,0.15,0.0,0.1428963875280436,0.125,0.0032041012495994873,0.10381288048702339,22.99230769230769,373.625,0.13771186440677968,0.019036155596643435,0.2855,0.016729921535296084,0.23366666666666666,0.3165,0.259,0.41300000000000003,0.428,0.031432748538011694
אשדוד,4,0.477563789,0.422478386,0.439973615,0.072267058,0.340425532,0.8516,0.006918171,0.004723347,0.73,0.76,0.094,0.103,0.228,0.238,0.406,0.444,0.183,0.199,0.172,0.188,24.51409978,2022,23.234649122807017,0.06798245614035088,0.013157894736842105,0.19651529630453848,0.42142857142857143,0.0017319477751132426,0.077049471533884,24.2540192926045,323.27142857142854,0.12876712328767123,0.008123732973226867,0.28900000000000003,0.008641623207344558,0.224,0.316,0.245,0.20550000000000002,0.2185,0.03946179246738704
אשקלון,5,0.624505184,0.416460905,0.474330357,0.083974359,0.4,0.9096,0.00872584,0.013333333,0.86,0.894,0.111,0.12,0.283,0.297,0.457,0.493,0.219,0.238,0.14,0.151,24.58558559,2022,24.73127753303965,0.09251101321585903,0.0,0.16391334454446532,0.36666666666666664,0.0020745322872661436,0.09165660832830416,25.282001924927815,437.8,0.12906976744186047,0.009593051890941074,0.2985,0.010819642345058627,0.236,0.322,0.25466666666666665,0.251,0.26749999999999996,0.050816910237824704
באקה אל-גרביה,3,0.528571429,0.547477745,0.618025751,0.101010101,0.444444444,0.891,0.000574713,0.052631579,0.813,0.816,0.172,0.174,0.283,0.289,0.281,0.284,0.2,0.205,0.118,0.119,24.93150685,2022,24.453333333333333,0.16,0.0,0.22965853658536586,0.4,0.003115264797507788,0.09544038516001133,24.992857142857144,466.53333333333336,0.2115621156211562,0.0006450202020202021,0.1995,0.003718468358673907,0.19033333333333333,0.20149999999999998,0.19233333333333333,0.2415,0.247,0.03949421919291652
באר יעקב,7,0.66407904,0.396054628,0.404,0.106635071,0.348341232,0.8038,0.006615215,0.011583012,0.846,0.844,0.04,0.041,0.213,0.216,0.455,0.458,0.251,0.254,0.107,0.108,23.01408451,2022,16.770491803278688,0.09836065573770492,0.0,0.19476315713418688,0.2222222222222222,0.0025226294702478114,0.0977889894643122,26.41127694859038,442.3888888888889,0.047281323877068564,0.008229926598656382,0.281,0.008750088791284692,0.2006666666666667,0.28300000000000003,0.20233333333333337,0.23199999999999998,0.235,0.033232242617717477
באר שבע,5,0.572583853,0.472930392,0.576441103,0.075032342,0.281586891,0.8926,0.008746539,0.002205882,0.858,0.888,0.095,0.1,0.267,0.277,0.416,0.444,0.217,0.231,0.143,0.155,24.853125,2022,23.762345679012345,0.07407407407407407,0.027777777777777776,0.15683006461334734,0.3409090909090909,0.0032901441257825012,0.10164507206289125,23.657320872274145,388.32954545454544,0.11072261072261072,0.009798945776383598,0.27949999999999997,0.012053243123138149,0.21799999999999997,0.2995,0.23299999999999998,0.242,0.254,0.08626180181358037
בית אל,3,0.0,0.598130841,0.591304348,0.016216216,0.481081081,0.5301,0.00552868,0.0,0.839,0.852,0.194,0.205,0.414,0.415,0.371,0.392,0.398,0.42,0.21,0.222,28.08333333,2022,20.95,0.1,0.0,0.2574503311258278,0.5,0.016720257234726688,0.13762057877813505,24.75177304964539,290.8333333333333,0.23122765196662695,0.01042950386719487,0.2905,0.020428393467048712,0.2583333333333333,0.307,0.27299999999999996,0.406,0.4175,0.010478061558611657
בית ג'ן,4,0.862676056,0.568807339,0.553846154,0.005813953,0.069767442,0.9663,0.010247652,0.0,0.988,0.988,0.081,0.082,0.424,0.421,0.43,0.433,0.291,0.287,0.151,0.152,25.04347826,2022,27.136363636363637,0.13636363636363635,0.0,0.1909335069585741,0.25,0.0076726342710997444,0.09292412617220801,25.829545454545453,568.25,0.0819838056680162,0.010605041912449549,0.2905,0.018166701714034315,0.22066666666666665,0.2925,0.2223333333333333,0.3575,0.354,0.012708115499075042
בית שאן,4,0.567146283,0.488888889,0.565217391,0.198473282,0.488549618,0.8097,0.016184971,0.010067114,0.872,0.879,0.155,0.156,0.294,0.3,0.43,0.436,0.192,0.195,0.189,0.191,18.64285714,2022,19.9375,0.16666666666666666,0.0,0.19349103659439973,0.4,0.0015313935681470138,0.11485451761102604,21.262295081967213,259.4,0.17775229357798164,0.019988848956403606,0.3095,0.0177269910462606,0.258,0.3135,0.261,0.243,0.2475,0.06281130393750328
בית שמש,2,0.446340368,0.316901408,0.300399202,0.064633261,0.276688453,0.6679,0.028459457,0.003041825,0.447,0.462,0.077,0.091,0.109,0.106,0.286,0.314,0.144,0.164,0.1,0.117,22.93333333,2022,23.907462686567165,0.07761194029850746,0.0,0.21204532686262087,0.41975308641975306,0.0019166267369429804,0.06403788156374193,22.465762487595104,209.61111111111111,0.17225950782997762,0.042610356340769574,0.193,0.030461989614777512,0.15433333333333335,0.2155,0.17400000000000002,0.1265,0.135,0.021112648195792984
ביתר עילית,1,0.493916067,0.146596859,0.125,0.00270636,0.104194858,0.6291,0.028863392,0.00462963,0.139,0.132,0.003,0.003,0.028,0.028,0.033,0.038,0.042,0.05,0.003,0.003,28.58585859,2022,30.878205128205128,0.0641025641025641,0.0,0.32418700653858923,0.4791666666666667,0.0013357079252003562,0.051024042742653604,24.407060121345836,230.46875,0.021582733812949638,0.04588045143856303,0.018000000000000002,0.03021932420338983,0.013000000000000003,0.0205,0.014666666666666668,0.035,0.039,0.01623031742064484
בני ברק,2,0.312972292,0.195002048,0.177809388,0.00742115,0.081168831,0.7604,0.01761353,0.010989011,0.083,0.083,0.016,0.018,0.025,0.024,0.045,0.05,0.025,0.027,0.015,0.017,30.66829268,2022,22.316698656429942,0.019193857965451054,0.0,0.24465893603235248,0.49327354260089684,0.0020090957242790085,0.04458366057240964,26.528054298642534,262.9013452914798,0.19277108433734938,0.023163506049447658,0.03,0.019489798613437494,0.025333333333333333,0.0335,0.028333333333333335,0.025,0.025500000000000002,0.018080482878955105
בסמת טבעון,3,0.245125348,0.539473684,0.720930233,0.1,0.358333333,0.9375,0.00672043,0.261538462,0.595,0.61,0.033,0.034,0.281,0.288,0.149,0.153,0.083,0.085,0.0,0.0,27.61538462,2022,34.76923076923077,0.23076923076923078,0.0,0.21370030581039756,0.25,0.0,0.08700629650829994,25.43548387096774,394.25,0.055462184873949584,0.007168458666666667,0.0745,0.00672043,0.06066666666666667,0.0765,0.06233333333333333,0.18200000000000002,0.1865,0.04333947206875384
בת ים,5,0.441151803,0.427594071,0.538610039,0.122242647,0.329044118,0.8208,0.008828804,0.0,0.868,0.887,0.11,0.122,0.25,0.238,0.497,0.539,0.218,0.239,0.158,0.174,22.46794872,2022,23.62130177514793,0.15976331360946747,0.0,0.13000099161702225,0.3541666666666667,0.0030511060259344014,0.10291615325940269,22.671611598111934,350.2291666666667,0.12672811059907835,0.010756340155945421,0.3275,0.011922016777348166,0.255,0.35650000000000004,0.2783333333333334,0.23399999999999999,0.2385,0.05731522204491496
ג'דיידה-מכר,3,0.402610442,0.523114355,0.48245614,0.044585987,0.51910828,0.9302,0.021916093,0.018518519,0.818,0.82,0.104,0.103,0.327,0.328,0.27,0.273,0.211,0.212,0.101,0.1,25.68421053,2022,24.682926829268293,0.1951219512195122,0.0,0.19862027892203088,0.4,0.0017491254372813594,0.10269865067466268,23.771084337349397,394.6,0.1271393643031785,0.02356062459686089,0.1855,0.023690041302078056,0.15833333333333333,0.1865,0.15866666666666665,0.269,0.27,0.05250497293796549
