Settlement,SocioeconomicCluster,PercentTechStudents,PercentTeachersMasters,PercentHighSchoolTeachersMasters,PercentRegionalAccommodations,PercentInstitutionalAccommodations,PersistenceRate,DropoutRate,PercentShakdQuestionnaires,PercentBagrutEligible,PercentBagrutEligibleRegular,PercentExcellentBagrut,PercentOutstandingBagrutRegular,Percent4UnitsEnglish,Percent4UnitsEnglishRegular,Percent5UnitsEnglish,Percent5UnitsEnglishRegular,Percent4UnitsMath,Percent4UnitsMathRegular,Percent5UnitsMath,Percent5UnitsMathRegular,AvgClassSizeHighSchool,Year,HighSchoolStudentsPerHighClass,TechClassRatio,GiftedClassRatio,StudentsPerResidentRatio,HighSchoolCoverageRatio,HilaStudentRatio,TeacherStudentRatio,StudentPerClass,StudentPerSchool,OutstandingToTotal,DropoutToPersistenceRatio,5UnitsIndex,DropoutRiskScore,SchoolExcellentScore,5UnitsIndexRegular,SchoolExcellentScoreRegular,4UnitsIndex,4UnitsIndexRegular,CrimeRate
בית אל,3,0.0,0.563318777,0.5625,0.09375,0.447916667,0.6612,0.035220994,0.0,0.808,0.801,0.133,0.141,0.404,0.408,0.34,0.346,0.399,0.419,0.143,0.152,29.15384615,2019,18.636363636363637,0.13636363636363635,0.0,0.27963576158940395,0.5,0.004736530491415038,0.13558318531675548,26.35374149659864,322.8333333333333,0.1646039603960396,0.0532682909860859,0.2415,0.039351092089829634,0.20533333333333334,0.249,0.213,0.4015,0.4135,0.012933857236411264
בית ג'ן,3,0.740740741,0.457013575,0.424242424,0.224719101,0.08988764,0.9531,0.002465078,0.044776119,0.962,0.983,0.126,0.129,0.47,0.478,0.426,0.438,0.208,0.213,0.213,0.219,24.24,2019,26.869565217391305,0.13043478260869565,0.0,0.1977700008138683,0.25,0.0069958847736625515,0.09094650205761316,25.559139784946236,594.25,0.13097713097713098,0.002586379183716294,0.3195,0.00961695010769878,0.255,0.3285,0.262,0.33899999999999997,0.3455,0.01616665326148154
בית שאן,4,0.53081761,0.47113164,0.493333333,0.338235294,0.235294118,0.8922,0.009580838,0.007905138,0.696,0.738,0.017,0.015,0.376,0.403,0.219,0.248,0.16,0.18,0.089,0.097,17.90909091,2019,20.108695652173914,0.15217391304347827,0.0,0.18949083905378045,0.4,0.0010424811050299713,0.11284857961949439,22.215743440233236,254.0,0.024425287356321844,0.010738442053351265,0.154,0.010630706766404199,0.10833333333333334,0.1725,0.12,0.268,0.2915,0.05893147381114665
בית שמש,2,0.410493289,0.281058101,0.28196347,0.218111003,0.212268744,0.6698,0.011964108,0.003558719,0.504,0.509,0.066,0.075,0.146,0.145,0.28,0.301,0.146,0.169,0.086,0.099,25.30215827,2019,27.43295019157088,0.09961685823754789,0.0,0.18274782151352514,0.4198473282442748,0.002093076495405043,0.06923504594956993,23.231507397041185,221.76335877862596,0.13095238095238096,0.01786220961481039,0.183,0.014167130271178273,0.144,0.2,0.15833333333333335,0.146,0.157,0.019470696988894205
ביתר עילית,1,0.509513742,0.134199134,0.084699454,0.110280374,0.026168224,0.6255,0.015694076,0.006514658,0.159,0.14,0.007,0.007,0.055,0.053,0.031,0.035,0.068,0.074,0.008,0.007,28.4,2019,34.682539682539684,0.07142857142857142,0.0,0.30457123886779924,0.43529411764705883,0.0016112980427467893,0.05473674233448652,24.524449877750612,236.01176470588234,0.0440251572327044,0.025090449240607517,0.0195,0.017388906766163205,0.015333333333333332,0.021,0.016333333333333335,0.0615,0.0635,0.01580854786303424
בני ברק,2,0.321960206,0.182920912,0.173428799,0.05215311,0.068899522,0.7813,0.008355953,0.006476684,0.09,0.091,0.011,0.013,0.025,0.025,0.046,0.05,0.017,0.019,0.018,0.02,29.18852459,2019,21.62075848303393,0.017964071856287425,0.0,0.22089505552204125,0.5048543689320388,0.0015981227115489654,0.04169279631015718,26.464851485148515,259.50970873786406,0.12222222222222222,0.010694935364136694,0.032,0.00983372100912849,0.024999999999999998,0.035,0.02766666666666667,0.021,0.022,0.017416432722559844
בסמת טבעון,2,0.290598291,0.414965986,0.575,0.259615385,0.0,0.9211,0.005673759,0.214285714,0.6,0.606,0.01,0.01,0.324,0.327,0.162,0.163,0.057,0.058,0.048,0.048,31.90909091,2019,42.18181818181818,0.18181818181818182,0.0,0.22128440366972477,0.25,0.000552791597567717,0.0812603648424544,24.9672131147541,380.75,0.016666666666666666,0.006159764412115948,0.10500000000000001,0.006330357818122127,0.07333333333333335,0.10550000000000001,0.07366666666666667,0.1905,0.1925,0.028974831184775937
בת ים,5,0.419031241,0.394705882,0.502923977,0.330468004,0.111747851,0.817,0.008986589,0.003870968,0.831,0.856,0.032,0.034,0.322,0.326,0.408,0.433,0.183,0.195,0.139,0.148,22.61935484,2019,25.038216560509554,0.17197452229299362,0.0,0.13149604497364586,0.3333333333333333,0.0021462961888740646,0.09861360867799757,23.619846261355697,375.55555555555554,0.03850782190132371,0.01099949694002448,0.27349999999999997,0.011175938112426035,0.19299999999999998,0.2905,0.205,0.2525,0.2605,0.054450628575876694
ג'דיידה-מכר,2,0.590178571,0.37587007,0.401639344,0.275362319,0.150724638,0.9595,0.018618619,0.012195122,0.616,0.617,0.054,0.055,0.35,0.349,0.218,0.219,0.155,0.156,0.092,0.092,27.225,2019,25.431818181818183,0.13636363636363635,0.0,0.2167353218522011,0.4,0.0004579803068468056,0.0986947561254866,24.357954545454547,428.7,0.08766233766233766,0.019404501302761855,0.155,0.01908514570865407,0.12133333333333333,0.1555,0.122,0.2525,0.2525,0.04464079196928344
ג'וליס,4,0.261904762,0.487603306,0.477272727,0.275510204,0.112244898,0.9444,0.004934211,0.017857143,0.725,0.747,0.059,0.061,0.363,0.374,0.284,0.293,0.304,0.313,0.147,0.152,24.5,2019,27.25,0.16666666666666666,0.0,0.1844500820773019,0.3333333333333333,0.0008090614886731392,0.09789644012944984,24.729166666666668,395.6666666666667,0.08137931034482758,0.0052247045743329095,0.21549999999999997,0.005776670983150801,0.1633333333333333,0.22249999999999998,0.16866666666666666,0.3335,0.3435,0.01751261501929356
